Kod;Nazwa;Rok;Kategoria;Jednostka;Value
0;POLSKA;2009;przeciwko życiu i zdrowiu;-;31708.0
0;POLSKA;2010;o charakterze gospodarczym;-;154341.0
0;POLSKA;2010;o charakterze kryminalnym;-;778905.0
0;POLSKA;2010;ogółem;-;1138523.0
0;POLSKA;2010;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;156744.0
0;POLSKA;2010;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;157632.0
0;POLSKA;2010;przeciwko mieniu;-;607464.0
0;POLSKA;2010;przeciwko rodzinie i opiece;-;38540.0
0;POLSKA;2010;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;41464.0
0;POLSKA;2010;przeciwko życiu i zdrowiu;-;30911.0
0;POLSKA;2011;o charakterze gospodarczym;-;151655.0
0;POLSKA;2011;o charakterze kryminalnym;-;794102.0
0;POLSKA;2011;ogółem;-;1159554.0
0;POLSKA;2011;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;164572.0
0;POLSKA;2011;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;165624.0
0;POLSKA;2011;przeciwko mieniu;-;618648.0
0;POLSKA;2011;przeciwko rodzinie i opiece;-;37998.0
0;POLSKA;2011;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;42662.0
0;POLSKA;2011;przeciwko życiu i zdrowiu;-;31383.0
0;POLSKA;2012;o charakterze gospodarczym;-;141483.0
0;POLSKA;2012;o charakterze kryminalnym;-;781340.0
0;POLSKA;2012;ogółem;-;1119803.0
0;POLSKA;2012;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;155906.0
0;POLSKA;2012;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;156939.0
0;POLSKA;2012;przeciwko mieniu;-;598898.0
0;POLSKA;2012;przeciwko rodzinie i opiece;-;32379.0
0;POLSKA;2012;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;44155.0
0;POLSKA;2012;przeciwko życiu i zdrowiu;-;29734.0
0;POLSKA;2013;o charakterze gospodarczym;-;159624.0
0;POLSKA;2013;o charakterze kryminalnym;-;727718.0
0;POLSKA;2013;ogółem;-;1061239.0
0;POLSKA;2013;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;140925.0
0;POLSKA;2013;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;143884.0
0;POLSKA;2013;przeciwko mieniu;-;566353.0
0;POLSKA;2013;przeciwko rodzinie i opiece;-;35935.0
0;POLSKA;2013;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;40370.0
0;POLSKA;2013;przeciwko życiu i zdrowiu;-;25617.0
0;POLSKA;2014;o charakterze gospodarczym;-;161135.0
0;POLSKA;2014;o charakterze kryminalnym;-;589147.0
0;POLSKA;2014;ogółem;-;867855.0
0;POLSKA;2014;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;86680.0
0;POLSKA;2014;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;87940.0
0;POLSKA;2014;przeciwko mieniu;-;472515.0
0;POLSKA;2014;przeciwko rodzinie i opiece;-;34289.0
0;POLSKA;2014;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;33324.0
0;POLSKA;2014;przeciwko życiu i zdrowiu;-;20218.0
0;POLSKA;2015;o charakterze gospodarczym;-;167741.0
0;POLSKA;2015;o charakterze kryminalnym;-;522546.0
0;POLSKA;2015;ogółem;-;799779.0
0;POLSKA;2015;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;76359.0
0;POLSKA;2015;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;83207.0
0;POLSKA;2015;przeciwko mieniu;-;439871.0
0;POLSKA;2015;przeciwko rodzinie i opiece;-;27751.0
0;POLSKA;2015;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;27661.0
0;POLSKA;2015;przeciwko życiu i zdrowiu;-;17266.0
0;POLSKA;2016;o charakterze gospodarczym;-;150386.0
0;POLSKA;2016;o charakterze kryminalnym;-;490328.0
0;POLSKA;2016;ogółem;-;748459.0
0;POLSKA;2016;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;73479.0
0;POLSKA;2016;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;85164.0
0;POLSKA;2016;przeciwko mieniu;-;391861.0
0;POLSKA;2016;przeciwko rodzinie i opiece;-;24098.0
0;POLSKA;2016;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;31144.0
0;POLSKA;2016;przeciwko życiu i zdrowiu;-;18008.0
0;POLSKA;2017;o charakterze gospodarczym;-;189871.0
0;POLSKA;2017;o charakterze kryminalnym;-;463907.0
0;POLSKA;2017;ogółem;-;753963.0
0;POLSKA;2017;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;68571.0
0;POLSKA;2017;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;78381.0
0;POLSKA;2017;przeciwko mieniu;-;372594.0
0;POLSKA;2017;przeciwko rodzinie i opiece;-;32892.0
0;POLSKA;2017;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;31144.0
0;POLSKA;2017;przeciwko życiu i zdrowiu;-;18705.0
0;POLSKA;2018;o charakterze gospodarczym;-;180739.0
0;POLSKA;2018;o charakterze kryminalnym;-;491732.0
0;POLSKA;2018;ogółem;-;768049.0
0;POLSKA;2018;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;65972.0
0;POLSKA;2018;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;73476.0
0;POLSKA;2018;przeciwko mieniu;-;348914.0
0;POLSKA;2018;przeciwko rodzinie i opiece;-;85899.0
0;POLSKA;2018;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;33310.0
0;POLSKA;2018;przeciwko życiu i zdrowiu;-;17505.0
0;POLSKA;2019;o charakterze gospodarczym;-;187367.0
0;POLSKA;2019;o charakterze kryminalnym;-;507183.0
0;POLSKA;2019;ogółem;-;796557.0
0;POLSKA;2019;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;71266.0
0;POLSKA;2019;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;77823.0
0;POLSKA;2019;przeciwko mieniu;-;378041.0
0;POLSKA;2019;przeciwko rodzinie i opiece;-;69861.0
0;POLSKA;2019;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;46504.0
0;POLSKA;2019;przeciwko życiu i zdrowiu;-;16581.0
0;POLSKA;2020;o charakterze gospodarczym;-;198163.0
0;POLSKA;2020;o charakterze kryminalnym;-;469971.0
0;POLSKA;2020;ogółem;-;765408.0
0;POLSKA;2020;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;66507.0
0;POLSKA;2020;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;72562.0
0;POLSKA;2020;przeciwko mieniu;-;370042.0
0;POLSKA;2020;przeciwko rodzinie i opiece;-;57654.0
0;POLSKA;2020;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;36310.0
0;POLSKA;2020;przeciwko życiu i zdrowiu;-;14029.0
0;POLSKA;2021;o charakterze gospodarczym;-;224775.0
0;POLSKA;2021;o charakterze kryminalnym;-;489052.0
0;POLSKA;2021;ogółem;-;820846.0
0;POLSKA;2021;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;70727.0
0;POLSKA;2021;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;77585.0
0;POLSKA;2021;przeciwko mieniu;-;418041.0
0;POLSKA;2021;przeciwko rodzinie i opiece;-;56566.0
0;POLSKA;2021;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;35672.0
0;POLSKA;2021;przeciwko życiu i zdrowiu;-;13403.0
0;POLSKA;2022;o charakterze gospodarczym;-;263761.0
0;POLSKA;2022;o charakterze kryminalnym;-;490934.0
0;POLSKA;2022;ogółem;-;862432.0
0;POLSKA;2022;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;68979.0
0;POLSKA;2022;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;75776.0
0;POLSKA;2022;przeciwko mieniu;-;429909.0
0;POLSKA;2022;przeciwko rodzinie i opiece;-;47967.0
0;POLSKA;2022;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;34409.0
0;POLSKA;2022;przeciwko życiu i zdrowiu;-;13301.0
0;POLSKA;2023;o charakterze gospodarczym;-;225979.0
0;POLSKA;2023;o charakterze kryminalnym;-;466241.0
0;POLSKA;2023;ogółem;-;792014.0
0;POLSKA;2023;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;60932.0
0;POLSKA;2023;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;66682.0
0;POLSKA;2023;przeciwko mieniu;-;409114.0
0;POLSKA;2023;przeciwko rodzinie i opiece;-;46639.0
0;POLSKA;2023;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;34452.0
0;POLSKA;2023;przeciwko życiu i zdrowiu;-;13187.0
0;POLSKA;2024;o charakterze gospodarczym;-;239565.0
0;POLSKA;2024;o charakterze kryminalnym;-;422442.0
0;POLSKA;2024;ogółem;-;772682.0
0;POLSKA;2024;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;58059.0
0;POLSKA;2024;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;64115.0
0;POLSKA;2024;przeciwko mieniu;-;370329.0
0;POLSKA;2024;przeciwko rodzinie i opiece;-;43845.0
0;POLSKA;2024;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;30389.0
0;POLSKA;2024;przeciwko życiu i zdrowiu;-;13241.0
200000;DOLNOŚLĄSKIE;2002;o charakterze gospodarczym;-;7465.0
200000;DOLNOŚLĄSKIE;2002;o charakterze kryminalnym;-;93068.0
200000;DOLNOŚLĄSKIE;2002;ogółem;-;120165.0
200000;DOLNOŚLĄSKIE;2002;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;15472.0
200000;DOLNOŚLĄSKIE;2002;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;15749.0
200000;DOLNOŚLĄSKIE;2002;przeciwko mieniu;-;74462.0
200000;DOLNOŚLĄSKIE;2002;przeciwko rodzinie i opiece;-;3397.0
200000;DOLNOŚLĄSKIE;2002;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;5068.0
200000;DOLNOŚLĄSKIE;2002;przeciwko życiu i zdrowiu;-;3009.0
200000;DOLNOŚLĄSKIE;2003;o charakterze gospodarczym;-;8533.0
200000;DOLNOŚLĄSKIE;2003;o charakterze kryminalnym;-;98184.0
200000;DOLNOŚLĄSKIE;2003;ogółem;-;127893.0
200000;DOLNOŚLĄSKIE;2003;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;16545.0
200000;DOLNOŚLĄSKIE;2003;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;16872.0
200000;DOLNOŚLĄSKIE;2003;przeciwko mieniu;-;78034.0
200000;DOLNOŚLĄSKIE;2003;przeciwko rodzinie i opiece;-;3295.0
200000;DOLNOŚLĄSKIE;2003;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;4910.0
200000;DOLNOŚLĄSKIE;2003;przeciwko życiu i zdrowiu;-;2833.0
200000;DOLNOŚLĄSKIE;2004;o charakterze gospodarczym;-;10145.0
200000;DOLNOŚLĄSKIE;2004;o charakterze kryminalnym;-;98687.0
200000;DOLNOŚLĄSKIE;2004;ogółem;-;129965.0
200000;DOLNOŚLĄSKIE;2004;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;16895.0
200000;DOLNOŚLĄSKIE;2004;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji razem;-;17257.0
200000;DOLNOŚLĄSKIE;2004;przeciwko mieniu;-;78696.0
200000;DOLNOŚLĄSKIE;2004;przeciwko rodzinie i opiece;-;2838.0
200000;DOLNOŚLĄSKIE;2004;przeciwko wolności, wolności sumienia, wolności seksualnej i obyczajności razem;-;5133.0
200000;DOLNOŚLĄSKIE;2004;przeciwko życiu i zdrowiu;-;2846.0
200000;DOLNOŚLĄSKIE;2005;o charakterze gospodarczym;-;10892.0
200000;DOLNOŚLĄSKIE;2005;o charakterze kryminalnym;-;89730.0
200000;DOLNOŚLĄSKIE;2005;ogółem;-;123501.0
200000;DOLNOŚLĄSKIE;2005;przeciwko bezpieczeństwu powszechnemu i bezpieczeństwu w komunikacji - drogowe;-;18576.0
