Nr punktu;Miejscowość;Data poboru;Objętość wody, litry ;Osady denne, gsm;Masa do pomiaru Cs-137, g;Gęstość gcm-3; Cs-137 w osadach dennych, Bqkg-1 ; Całkowita Względna Niepewność Bq/kg ; Pu-239+240 mBq kg-1 ; Całkowita Względna Niepewnośc mBq/kg  ;Pu-238 mBq kg-1; Całkowita Względna Niepewność mBq/kg  ; Pu-238/Pu-239+240 ;Cs-137 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90/Cs-137
1;Kraków Tyniec;05.07.2021;20;1000;740;1,64;1,07;0,1;12,16;1,81;;;;3,36;0,43;3,67;0,39;1,09
2;Annopol;05.07.2021;20;1000;700;1,56;0,92;0,09;15,81;2,17;;;;2,3;0,38;3,15;0,34;1,37
3;Warszawa;12.07.2021;20;1000;80;0,8;6,01;0,56;65,24;4,79;;;;1,77;0,28;2,38;0,26;1,34
4;Płock;14.07.2021;20;1000;810;1,8;0,32;0,09;4,48;2,5;;;;1,68;0,29;2,79;0,33;1,66
5;Kiezmark;14.07.2021;20;1000;720;1,6;1,07;0,09;9,71;2,18;;;;4,07;0,54;2,46;0,26;0,6
6;Pułtusk;30.06.2021;20;1000;750;1,67;5,12;0,3;10,81;2,31;;;;1,89;0,27;2,4;0,27;1,27
7;Wyszków;30.06.2021;20;1000;820;1,82;0,5;0,07;;;;;;2,29;0,32;3,32;0,35;1,45
8;Chałupki;06.07.2021;20;1000;100;1;8,05;0,84;59,36;4,04;;;;3,77;0,57;4,25;0,46;1,13
9;Wrocław;06.07.2021;20;1000;790;1,76;0,58;0,06;10,56;2,32;;;;3,22;0,52;3,94;0,42;1,22
10;Głogów;06.07.2021;20;1000;670;1,49;2,32;0,18;16,81;2,13;;;;2,75;0,42;4,28;0,47;1,56
11;Krajnik;07.07.2021;20;1000;700;1,56;0,47;0,11;5,11;1,37;;;;1,81;0,29;3,53;0,36;1,95
12;Poznań;08.07.2021;20;1000;780;1,73;0,63;0,08;7,14;1,9;;;;2,46;0,34;3,06;0,33;1,24
13;Wigry;30.07.2021;20;1000;747;1,66;1,86;0,14;4,47;2,17;;;;2,87;0,47;1,51;0,18;0,53
14;Wadąg;30.07.2021;20;1000;780;1,73;1,71;0,17;6,07;1,74;;;;2,04;0,28;2,28;0,25;1,12
15;Wielkie Partęczyny;14.07.2021;20;1000;760;1,69;1,64;0,1;6,57;1,47;;;;1,22;0,18;1,97;0,22;1,61
16;Drawsko;08.07.2021;20;1000;740;1,64;1,28;0,14;12,61;2,49;;;;1,68;0,24;2,85;0,3;1,7
17;Niesłysz;07.07.2021;20;1000;700;1,56;3,63;0,17;15,38;2,88;;;;2,07;0,35;1,8;0,22;0,87
18;Rogóźno;05.07.2021;20;1000;800;1,78;5,56;0,25;9,02;2,41;;;;3,84;0,51;8,47;0,84;2,21
1;Kraków Tyniec;12.10.2021;20;1000;522;1,16;5,31;0,52;34,77;3,68;3,86;1,23;0,11;3,21;0,38;2,78;0,32;0,87
2;Annopol;12.10.2021;20;1000;615;1,37;1,81;0,24;38,03;2,2;;;;3,29;0,34;2,67;0,34;0,81
3;Warszawa;22.10.2021;20;1000;647;1,44;1,74;0,2;28,58;4,16;2,45;1,33;0,09;4,26;0,48;1,9;0,22;0,45
4;Płock;08.10.2021;20;1000;795;1,77;0,34;0,06;3,98;1,48;;;;2,6;0,34;3,21;0,31;1,24
5;Kiezmark;08.10.2021;20;1000;640;1,42;1,57;0,2;8,95;1,96;;;;4,07;0,54;2,46;0,26;0,52
6;Pułtusk;06.10.2021;20;1000;602;1,34;5,29;0,48;11,54;2,28;;;;0,95;0,14;2,64;0,27;2,78
7;Wyszków;06.10.2021;20;1000;716;1,59;0,73;0,1;7,01;2,31;;;;3,54;0,44;3,49;0,44;0,99
8;Chałupki;13.10.2021;20;1000;520;1,16;5,06;0,52;42,68;3,55;2,03;0,81;0,05;4,92;0,41;2,33;0,27;0,47
9;Wrocław;13.10.2021;20;1000;725;1,61;0,9;0,1;11,8;2,37;;;;2,79;0,27;3,65;0,4;1,31
10;Głogów;13.10.2021;20;1000;700;1,56;2,06;0,2;17,72;2,84;;;;3,65;0,44;2,93;0,31;0,8
11;Krajnik;14.10.2021;20;1000;723;1,61;0,41;0,08;3,12;0,73;;;;1,93;0,28;2,31;0,27;1,2
12;Poznań;15.10.2021;20;1000;719;1,6;0,76;0,1;9,72;2,18;;;;4,31;0,58;6,38;0,58;1,48
13;Wigry;06.10.2021;20;1000;716;1,59;2,16;0,2;6,64;2,31;;;;2,47;0,25;1,12;0,12;0,45
14;Wadąg;06.10.2021;20;1000;707;1,57;2,31;0,2;8,86;2,93;;;;1,31;0,2;1,73;0,23;1,32
15;Wielkie Partęczyny;08.10.2021;20;1000;720;1,6;1,41;0,14;6,62;2,17;;;;2,37;0,28;1,73;0,19;0,73
16;Drawsko;15.10.2021;20;1000;675;1,5;1,59;0,18;8,23;2,36;;;;2,94;0,32;2,15;0,24;0,73
17;Niesłysz;14.10.2021;20;1000;660;1,47;4,48;0,44;17,12;2,97;;;;2,56;0,27;1,49;0,21;0,57
18;Rogóźno;12.10.2021;20;1000;710;1,58;6,47;0,62;7,72;1,81;;;;10,15;0,91;3,05;0,32;0,3
