Nr punktu;Miejscowość;Data poboru;Objętość wody, litry ;Osady denne, gsm;Masa do pomiaru Cs-137, g;Gęstość gcm-3; Cs-137 w osadach dennych, Bqkg-1 ; Całkowita Względna Niepewność Bq/kg ; Pu-239+240 mBq kg-1 ; Całkowita Względna Niepewnośc mBq/kg  ;Pu-238 mBq kg-1; Całkowita Względna Niepewność mBq/kg  ; Pu-238/Pu-239+240 ;Cs-137 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90/Cs-137
1;Kraków Tyniec;06.05.2024;20;1000;688,5;1,53;2,25;0,17;25,43;4,5;2,45;1,56;0,1;4,21;0,36;3,46;0,45;0,82
2;Annopol;06.05.2024;20;1000;828,3;1,84;0,13;0,03;8,88;1,43;;;;2,24;0,21;2,58;0,31;1,15
3;Warszawa;16.05.2024;20;1000;714,5;1,59;0,81;0,12;7,48;0,6;;;;0,84;0,09;3,82;0,48;4,55
4;Płock;09.04.2024;20;1000;843;1,87; <0,2 ;;2,78;0,64;1,97;0,88;0,7;2,32;0,22;3,5;0,39;1,51
5;Kiezmark;09.04.2024;20;1000;671;1,49;1,36;0,19;10,22;2,01;6,34;1,58;0,6;2,03;0,18;4,13;0,57;2,03
6;Pułtusk;08.04.2024;20;1000;643,5;1,43;6,39;0,45;24,28;3,6;5,14;1,7;0,2;2,28;0,19;4,18;0,57;1,83
7;Wyszków;08.04.2024;20;1000;675;1,5;5,03;0,38;52,91;4,76;2,11;1,01;0,04;1,23;0,12;3,17;0,4;2,58
8;Chałupki;07.05.2024;20;1000;428;0,95;10,59;0,67;73,12;6,06;2,4;1,15;0,03;2,98;0,23;2,5;0,31;0,84
9;Wrocław;07.05.2024;20;1000;759,5;1,69;0,22;0,06;3,08;1,46;;;;3,41;0,26;2,78;0,33;0,82
10;Głogów;07.05.2024;20;1000;110,7;0,25;13,5;0,4;60,21;3,87;;;;2,85;0,26;3,45;0,37;1,21
11;Krajnik;08.05.2024;20;1000;673,5;1,5;0,77;0,16;11,57;2,54;;;;1,97;0,17;3,24;0,44;1,64
12;Poznań;09.05.2024;20;1000;795;1,77;0,5;0,09;11,47;2,58;1,76;1,12;0,2;1,91;0,17;3,41;0,35;1,78
13;Wigry;08.04.2024;20;1000;617,5;1,37;6,18;0,45;10,52;2,55;;;;0,99;0,11;2,75;0,29;2,78
14;Wadąg;08.04.2024;20;1000;761,1;1,69;1,82;0,14;6,91;1,63;;;;0,45;0,05;3,36;0,37;7,47
15;Wielkie Partęczyny;09.04.2024;20;1000;787;1,75;0,89;0,1;1,35;0,87;;;;1,33;0,14;2,62;0,31;1,96
16;Drawsko;09.05.2024;20;1000;719,5;1,6;1,84;0,18;4,69;1,92;;;;1,66;0,15;3,27;0,34;1,97
17;Niesłysz;08.05.2024;20;1000;676;1,5;5,52;0,4;6,83;1,61;;;;2,48;0,2;1,52;0,23;0,61
18;Rogóźno;06.05.2024;20;1000;67,9;0,68;92,6;1,9;779,92;24,3;30,91;3,37;0,04;5,23;0,41;7,52;0,91;1,44
1;Kraków Tyniec;21.10.2024;20;1000;564,8;5,65;6,67;0,43;27,32;2,59;5,69;1,19;0,21;3,25;0,33;4,08;0,49;1,26
2;Annopol;21.10.2024;20;1000;464;1,03;8,47;0,53;63;3,9;;;;1,97;0,22;4,45;0,54;2,26
3;Warszawa;21.10.2024;20;1000;708,9;1,58;1,12;0,07;9,94;1,96;;;;10,42;0,98;6,24;0,72;0,6
4;Płock;12.09.2024;20;1000;802;1,78; <0,2 ;;4,62;1,36;;;;3,67;0,31;2,96;0,35;0,81
5;Kiezmark;12.09.2024;20;1000;631;1,4;1,58;0,18;11,36;2,02;;;;0,98;0,11;2,75;0,4;2,81
6;Pułtusk;11.09.2024;20;1000;803,2;1,78;1,96;0,15;4,77;1,35;;;;1,79;0,17;2,39;0,34;1,34
7;Wyszków;11.09.2024;20;1000;788,1;1,75;0,28;0,05;3,06;1,03;;;;2,05;0,19;2,46;0,28;1,2
8;Chałupki;22.10.2024;20;1000;473;1,05;9,88;0,63;56,08;4,05;;;;5,57;0,54;4,4;0,49;0,79
9;Wrocław;22.10.2024;20;1000;868,4;1,93;0,39;0,05;7,6;1,74;;;;2,88;0,34;2,85;0,38;1,34
10;Głogów;22.10.2024;20;1000;883;1,96;0,38;0,05;3,32;1,23;;;;2,17;0,27;4,02;0,45;1,85
11;Krajnik;23.10.2024;20;1000;728,6;1,62;0,56;0,09;6,61;1,76;2,22;1,06;0,34;0,65;0,09;5,11;0,68;7,86
12;Poznań;24.10.2024;20;1000;760,7;1,69;0,44;0,05;1,54;0,94;;;;1,55;0,16;4,17;0,49;2,69
13;Wigry;11.09.2024;20;1000;858;1,91;0,56;0,05;0,54;0,53;;;;1,64;0,32;2,44;0,3;1,49
14;Wadąg;11.09.2024;20;1000;789,8;1,76;1,55;0,11;6,14;1,05;;;;1,42;0,13;2,54;0,27;1,79
15;Wielkie Partęczyny;12.09.2024;20;1000;768,7;1,71;1,83;0,13;3,54;1,09;;;;0,8;0,16;2,77;0,3;3,46
16;Drawsko;24.10.2024;20;1000;797,5;1,77;1,45;0,12;3,15;1,09;;;;1,75;0,17;6,98;0,84;3,99
17;Niesłysz;23.10.2024;20;1000;795;1,77;4,62;0,33;1,62;0,99;;;;0,82;0,11;3,33;0,32;4,06
18;Rogóźno;21.10.2024;20;1000;71;0,71;113,36;3,73;481,09;19,66;8,54;2,2;0,02;3,15;0,32;6,83;0,61;2,17
