Nr punktu;Miejscowość;Data poboru;Objętość wody, litry ;Osady denne, gsm;Masa do pomiaru Cs-137, g;Gęstość gcm-3; Cs-137 w osadach dennych, Bqkg-1 ; Całkowita Względna Niepewność Bq/kg ; Pu-239+240 mBq kg-1 ; Całkowita Względna Niepewnośc mBq/kg  ;Pu-238 mBq kg-1; Całkowita Względna Niepewność mBq/kg  ; Pu-238/Pu-239+240 ;Cs-137 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90/Cs-137
12;Poznań;08.11.2007;20;900;648,9;1,44;1,99;0,1;20,3;5,74; < 2 ;;;1,31;0,2;2,68;0,31;2,05
13;Wigry;23.10.2007;20;1200;768,04;1,71;4,02;0,35;20,3;5,48;6,73;3,69;0,333;1,47;0,22;2,18;0,22;1,48
14;Wadąg;22.10.2007;20;1300;705,99;1,57;3,28;0,17;6,8;2; < 2 ;-;-;1,49;0,21;2,38;0,24;1,6
15;Wielkie Partęczyny;22.10.2007;20;1500;769,5;1,71;7,11;0,34;8,94;3,63; < 2 ;-;-;2,54;0,29;2,45;0,26;0,96
16;Drawsko;07.11.2007;20;1200;828,1;1,84;2,84;0,15;7,23;2,93; < 2 ;-;-;1,25;0,19;2,35;0,28;1,88
17;Niesłysz;19.09.2007;20;1300;659,57;1,47;10,5;0,49;44,9;11,7;4,12;3,23;0,092;0,99;0,17;1,49;0,18;1,51
18;Rogóźno;30.10.2007;20;700;515,1;1,14;89;4,13;60,7;4,89;6,57;1,75;0,108;6,09;0,54;8,07;0,61;1,33
1;Kraków Tyniec;19.06.2008;20;960;561,63;1,25;11,5;1,08;44,9;3,95;10,2;1,97;0,227;2,3;0,28;2,2;0,24;0,96
2;Annopol;20.06.2008;20;800;466,53;1,04;5,26;0,53;85,1;6,54;12,5;2,54;0,147;2,45;0,28;2,76;0,26;1,13
3;Warszawa;24.04.2008;20;1350;663,8;1,48;2,32;0,24;21,4;3,47;2,18;1,48;0,102;2,19;0,27;2,6;0,25;1,19
4;Płock;29.04.2008;20;800;724,22;1,61;0,68;0,11;7,19;2,91; < 2 ; - ; - ;1,56;0,22;3,14;0,28;2,01
5;Kiezmark;29.04.2008;20;1500;730,06;1,62;1,85;0,18;7,89;3,02; < 2 ; - ; - ;1,31;0,19;2,92;0,26;2,23
6;Pułtusk;23.04.2008;20;1000;563,65;1,25;13,4;2,06;14,2;3,94; < 2 ; - ; - ;1,83;0,24;4,27;0,33;2,33
7;Wyszków ;24.04.2008;20;1300;753,14;1,67;1,03;0,11;8,67;4; < 2 ; - ; - ;1,65;0,17;3,7;0,3;2,24
8;Chałupki ;19.06.2008;20;600;400,17;0,89;24,7;2,26;84,2;5,68;23,6;2,89;0,28;4,45;0,42;3,95;0,32;0,89
9;Wrocław;03.06.2008;20;700;671,08;1,49;3,31;0,32;23,1;4,1; < 2 ; - ; - ;2,3;0,27;2,89;0,25;1,26
10;Głogów ;03.06.2008;20;330;131,53;0,99;59;5,44;100;10,1;8,54;3,6;0,085;2,4;0,28;3,26;0,27;1,36
11;Krajnik;02.06.2008;20;470;482,8;1,07;16,1;1,5;12,3;3,13; < 2 ; - ; - ;2,3;0,27;2,85;0,25;1,24
12;Poznań;02.06.2008;20;800;656,42;1,46;2,27;0,27;18,8;3,04; < 2 ; - ; - ;2,35;0,28;3,31;0,28;1,41
13;Wigry;30.04.2008;20;1350;666,95;1,48;4,26;0,41;14,2;3,06;3,78;2,76;0,268;1,1;0,17;2,32;0,23;2,11
14;Wadąg;29.04.2008;20;1200;590,43;1,31;9,16;0,84;44,6;7,9; < 2 ; - ; - ;2,2;0,25;2,89;0,24;1,31
15;Wielkie Partęczyny;29.04.2008;20;1900;693,91;1,54;9,09;0,83;2,24;2,15; < 2 ; - ; - ;2,25;0,26;2,35;0,22;1,04
16;Drawsko;02.06.2008;20;900;697,59;1,55;6,59;0,61;8,88;2,61; < 2 ; - ; - ;2,13;0,25;2,65;0,23;1,24
17;Niesłysz;03.06.2008;20;1450;736,85;1,64;5,9;0,54;13,4;4,28; < 2 ; - ; - ;3,17;0,32;2;0,21;0,63
18;Rogóźno;20.06.2008;20;870;570,01;1,27;53,8;4,88;60,1;7,88;4,15;2,24;0,069;7,31;0,6;7,85;0,47;1,07
1;Kraków Tyniec;10.10.2008;20;1250;723,49;1,61;2,72;0,26;9,18;1,9;;;;2,18;0,26;5,98;0,33;2,74
2;Annopol;10.10.2008;20;1100;611,52;1,36;2,37;0,22;26,3;6,28;;;;2,19;0,27;4,08;0,34;1,86
3;Warszawa;04.09.2008;20;1200;684,57;1,52;1,96;0,21;7,84;2,29;;;;1,31;0,17;2,79;0,26;2,13
4;Płock;12.09.2008;20;680;676,33;1,5;0,97;0,11;18,7;4;;;;2,9;0,3;3,03;0,28;1,04
5;Kiezmark;12.09.2008;20;1600;741,22;1,65;1,89;0,19;8,21;2,85;;;;2,2;0,26;2,73;0,26;1,24
6;Pułtusk;04.09.2008;20;850;663,78;1,48;6,17;0,59;15,3;4,79;;;;1,11;0,09;2,6;0,25;2,34
7;Wyszków ;04.09.2008;20;560;369,76;0,82;5,92;0,59;7,37;2,17;;;;2,6;0,3;2,81;0,28;1,08
8;Chałupki ;10.10.2008;20;670;411,75;0,92;29,8;2,74;89,1;7,6;;;;2,85;0,31;3,68;0,31;1,29
9;Wrocław;05.10.2008;20;700;685,01;1,52;0,88;0,11;10,1;3,25;;;;3,75;0,38;3,8;0,34;1,01
10;Głogów ;04.10.2008;20;700;527,34;1,17;22,4;2,08;56,5;5,53;;;;3,26;0,34;4,24;0,36;1,3
11;Krajnik;03.10.2008;20;1600;659,31;1,47;1,22;0,14;19,1;6,82;;;;3,36;0,35;3,21;0,3;0,96
12;Poznań;04.10.2008;20;1200;737,1;1,64;0,67;0,08;5,21;1,95;;;;1,73;0,22;3,03;0,28;1,75
13;Wigry;13.09.2008;20;1150;747,24;1,66;7,95;0,73;4,62;2,33;;;;1,68;0,22;1,97;0,21;1,17
14;Wadąg;12.09.2008;20;1000;672,17;1,49;5,46;0,53;9,18;3,55;;;;2,2;0,27;2,73;0,26;1,24
15;Wielkie Partęczyny;12.09.2008;20;1500;714,53;1,59;11,5;1,07;7,11;4,11;;;;2,39;0,28;2,21;0,23;0,92
16;Drawsko;03.10.2008;20;1000;758,22;1,68;4,96;0,47;9,59;3,39;;;;2,39;0,27;3,43;0,3;1,44
17;Niesłysz;04.10.2008;20;1000;712,23;1,58;7,15;0,67;12,3;2,63;;;;1,98;0,24;1,73;0,2;0,87
18;Rogóźno;11.10.2008;20;750;676,67;1,5;12;1,11;21,4;5,97;;;;6,42;0,55;9,54;0,56;1,49
1;Kraków Tyniec;19.07.2009;20;874;721,49;1,6;1,75;0,16;25,3;3,72;3,27;1,58;0,129;3,2;0,29;7,38;0,47;2,31
2;Annopol;19.07.2009;20;917;544,76;1,21;2,54;0,25;26;4,02;3,38;2,07;0,13;1,27;0,15;3,46;0,29;2,72
3;Warszawa;04.06.2009;20;930;705,32;1,57;0,67;0,07;10,8;2,26;<2;-;-;2,18;0,26;2,54;0,26;1,17
4;Płock;22.06.2009;20;990;735,03;1,63;0,94;0,2;10,9;2,78;<2;-;-;1,84;0,23;3,34;0,3;1,82
5;Kiezmark;21.06.2009;20;1300;675,77;1,5;1,85;0,1;13,2;2,83;<2;-;-;1,53;0,23;2,61;0,25;1,71
6;Pułtusk;04.06.2009;20;924;608,32;1,35;9,65;0,88;32,3;3,89;4,47;1,66;0,138;1,91;0,23;1,96;0,23;1,03
7;Wyszków ;04.06.2009;20;1266;687,3;1,53;1,04;0,11;25,7;3,72;4,68;1,88;0,182;2,36;0,28;2,81;0,27;1,19
8;Chałupki ;19.07.2009;20;951;443,42;0,99;14,4;1,41;80,1;7,48;8,32;2,49;0,104;2,26;0,24;3,42;0,25;1,51
9;Wrocław;10.06.2009;20;1450;801,1;1,78;0,62;0,07;7,7;2,48;<2;-;-;3,31;0,35;3,7;0,33;1,12
10;Głogów ;10.06.2009;20;922;703,81;1,56;2,81;0,29;22,6;3,48;<2;-;-;3,19;0,34;4,46;0,36;1,4
11;Krajnik;08.06.2009;20;1057;777,8;1,73;1,04;0,14;14,8;3,5;<2;-;-;2,25;0,26;2,27;0,25;1,01
12;Poznań;09.06.2009;20;1050;638,19;1,42;1,39;0,14;18;2,93;<2;-;-;1,98;0,24;3,66;0,32;1,85
13;Drawsko;08.06.2009;20;997;743,81;1,65;6,29;0,58;17,2;3,36;<2;-;-;2,81;0,3;3,58;0,32;1,27
14;Wadąg;21.06.2009;20;968;716,76;1,59;5,09;0,54;23,9;3,26;<2;-;-;1,83;0,23;2,74;0,26;1,5
15;Wielkie Partęczyny;22.06.2009;20;1100;665,1;1,48;12,7;1,15;12,4;3,18;<2;-;-;1,78;0,23;2,33;0,24;1,31
16;Rogóźno;19.07.2009;20;929;678,47;1,51;6,52;0,6;38,8;4,02;5,31;2,79;0,137;5,07;0,42;7,97;0,49;1,57
17;Niesłysz;09.06.2009;20;1443;724,25;1,61;8,03;0,75;23;3,8;<2;-;-;2,55;0,29;1,82;0,22;0,71
18;Wigry;21.06.2009;20;954;662,49;1,47;5,87;0,54;41,1;4,63;5,98;2,13;0,146;1,53;0,21;2,02;0,24;1,32
1;Kraków Tyniec;05.10.2009;20;1100;660,02;1,47;2,59;0,24;24,9;5,36;-;-;-;4,45;0,42;5,71;0,43;1,29
