Nr punktu;Miejscowość;Data poboru;Objętość wody, litry ;Osady denne, gsm;Masa do pomiaru Cs-137, g;Gęstość gcm-3; Cs-137 w osadach dennych, Bqkg-1 ; Całkowita Względna Niepewność Bq/kg ; Pu-239+240 mBq kg-1 ; Całkowita Względna Niepewnośc mBq/kg  ;Pu-238 mBq kg-1; Całkowita Względna Niepewność mBq/kg  ; Pu-238/Pu-239+240 ;Cs-137 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90 w wodzie, mBq/l;Całkowita Względna Niepewność mBq/l;Sr-90/Cs-137
7;Wyszków;06.10.2011;20;1000;752,6;1,672444444;0,96;0,04;21,96;7,93;<2;;;2,38;0,24;3,87;0,34;1,62605042
8;Chałupki;25.08.2011;20;1000;485,5;1,078888889;8,63;0,08;48,06;9,21;<2;;;2,59;0,24;5,3;0,4;2,046332046
9;Wrocław;25.08.2011;20;1000;681,15;1,513666667;1,37;0,04;8,31;3,66;<2;;;2,1;0,21;4,58;0,35;2,180952381
10;Głogów;25.08.2011;20;1000;481,04;1,068977778;94,59;0,08;146,56;22,99;14,05;6,47;0,09;2,46;0,24;3,87;0,3;1,573170732
11;Krajnik;26.08.2011;20;1000;763,05;1,695666667;0,62;0,02;15,72;7,35;<2;;;2,61;0,25;5,15;0,39;1,973180077
12;Poznań;26.08.2011;20;1000;802,78;1,783955556;0,56;0,02;50,29;13,86;<2;;;1,47;0,17;3,52;0,3;2,394557823
13;Wigry;07.10.2011;20;1000;708,85;1,575222222;4,42;0,09;4,52;1,89;<2;;;1,69;0,19;2,99;0,28;1,769230769
14;Wadąg;07.10.2011;20;1000;652;1,448888889;2,24;0,07;6,56;9,85;<2;;;1,67;0,19;3,55;0,31;2,125748503
15;Wielkie;12.09.2011;20;1000;722,91;1,606466667;4,56;0,08;39,26;8,94;<2;;;2,43;0,23;3,12;0,28;1,283950617
16;Drawsko;14.09.2011;20;1000;770,07;1,711266667;3;0,07;6,7;2,68;<2;;;2,1;0,21;3,93;0,33;1,871428571
17;Niesłysz;25.08.2011;20;1000;704;1,564444444;5,78;0,1;29;6,82;<2;;;4,06;0,32;2,32;0,24;0,571428571
18;Rogóźno;24.08.2011;20;1000;781,13;1,735844444;18,72;0,14;154,51;20,6;<2;;;7,8;0,44;11,1;0,57;1,423076923
1;Kraków Tyniec;08.05.2012;20;1000;750;1,67;1,25;0,08;8,19;1,68;-;-;-;7,05;0,43;4,29;0,33;0,61
2;Annopol;08.05.2012;20;1000;680;1,51;1,84;0,16;36,96;3,91;-;-;-;12,33;0,58;5,32;0,36;0,43
3;Warszawa;06.06.2012;20;1000;690;1,53;2,06;0,18;69,2;6,5;-;-;-;9,71;0,49;9,61;0,51;0,99
4;Płock;23.05.2012;20;1000;690;1,53;1,22;0,16;187,58;19,39;-;-;-;2,64;0,24;4;0,32;1,52
5;Kiezmark;22.05.2012;20;1000;780;1,73;0,85;0,14;96,74;10,12;-;-;-;3,04;0,27;3,34;0,27;1,1
6;Pułtusk;22.05.2012;20;1000;660;1,47;7,45;0,35;18,08;2,69;-;-;-;2,48;0,24;4,39;0,38;1,77
7;Wyszków;22.05.2012;20;1000;860;1,91;2,06;0,25;69,2;6,5;-;-;-;2,13;0,22;5,08;0,37;2,38
8;Chałupki;08.05.2012;20;1000;410;0,91;14,94;0,72;26,38;2,93;-;-;-;40,72;1,04;3,26;0,28;0,08
9;Wrocław;09.05.2012;20;1000;770;1,71;2,03;0,2;26,16;3,38;-;-;-;6,49;0,41;3,72;0,3;0,57
10;Głogów;09.05.2012;20;1000;680;1,51;4,15;0,27;60,87;4,29;3,87;1,66;0,06;3,3;0,28;2,15;0,25;0,65
11;Krajnik;09.05.2012;20;1000;690;1,53;1,54;0,31;17,96;6,37;-;-;-;3,73;0,31;2,65;0,24;0,71
12;Poznań;10.05.2012;20;1000;720;1,6;1,25;0,25;151,2;9,31;5,16;2,7;0,03;10,96;0,54;4,39;0,35;0,4
13;Wigry;22.05.2012;20;1000;780;1,73;4,26;0,23;5,83;1,94;-;-;-;2,86;0,26;2,76;0,26;0,97
14;Wadąg;22.05.2012;20;1000;760;1,69;2,69;0,18;4,22;1,56;-;-;-;2,54;0,24;2,79;0,27;1,1
15;Wielkie;09.05.2012;20;1000;710;1,58;4,64;0,33;179,47;17,56;-;-;-;4,89;0,34;2,2;0,23;0,45
16;Drawsko;23.05.2012;20;1000;770;1,71;2,95;0,23;8,29;6,73;-;-;-;4,78;0,34;5,36;0,39;1,12
17;Niesłysz;10.05.2012;20;1000;630;1,4;4,01;0,25;28,43;4,37;-;-;-;3,6;0,29;2,49;0,25;0,69
18;Rogóźno;08.05.2012;20;1000;810;1,8;8,11;0,39;6,97;2,31;-;-;-;9,07;0,5;6,19;0,41;0,68
1;Kraków Tyniec;18.09.2012;20;1000;770;1,71;0,84;0,04;6,77;1,94;-;-;-;3,4;0,29;7,24;0,33;2,13
2;Annopol;18.09.2012;20;1000;680;1,51;1,6;0,08;25,96;3,66;-;-;-;3,67;0,3;4,18;0,23;1,14
3;Warszawa;30.08.2012;20;1000;810;1,8;0,44;0,06;4,55;1,66;-;-;-;1,25;0,18;2,18;0,16;1,74
4;Płock;31.08.2012;20;1000;800;1,78;0,49;0,07;13,6;3,64;-;-;-;3,68;0,29;3,26;0,27;0,89
5;Kiezmark;07.09.2012;20;1000;880;1,96;0,58;0,06;8,66;3,05;-;-;-;2,07;0,21;2,71;0,17;1,31
6;Pułtusk;31.08.2012;20;1000;750;1,67;6,78;0,22;9,64;2,78;-;-;-;1,29;0,23;1,59;0,13;1,23
7;Wyszków;31.08.2012;20;1000;740;1,64;1,68;0,06;26,79;4,79;-;-;-;2,33;0,34;3,32;0,19;1,42
8;Chałupki;19.09.2012;20;1000;550;1,22;12,22;0,36;45,46;3,66;4,91;1,9;0,11;4,95;0,35;4,81;0,27;0,97
9;Wrocław;19.09.2012;20;1000;760;1,69;2,61;0,15;11,58;2,68;-;-;-;6;0,4;4,03;0,22;0,67
10;Głogów;19.09.2012;20;1000;700;1,56;2,56;0,15;13,6;2,53;-;-;-;4,23;0,32;4,9;0,24;1,16
11;Krajnik;20.09.2012;20;1000;680;1,51;0,54;0,04;3,41;1,61;-;-;-;1,98;0,22;2,22;0,16;1,12
12;Poznań;21.09.2012;20;1000;790;1,76;0,59;0,03;8,52;2,3;-;-;-;2,41;0,17;3,18;0,19;1,32
13;Wigry;06.09.2012;20;1000;770;1,71;4,83;0,26;10,98;1,67;-;-;-;1,97;0,21;2,86;0,28;1,45
14;Wadąg;06.09.2012;20;1000;810;1,8;1,36;0,07;4,38;1,66;-;-;-;1,59;0,18;3,12;0,19;1,96
15;Wielkie;07.09.2012;20;1000;810;1,8;3,55;0,15;41,7;4,93;-;-;-;4,34;0,32;3,18;0,3;0,73
16;Drawsko;20.09.2012;20;1000;770;1,71;3,17;0,09;4,32;1,75;-;-;-;7,25;0,43;4,34;0,21;0,6
17;Niesłysz;20.09.2012;20;1000;705;1,57;6,08;0,2;13,14;2,76;-;-;-;3,8;0,31;1,6;0,13;0,42
18;Rogóźno;18.09.2012;20;1000;89;0,89;71,31;1,8;191,36;12,34;8,53;3,69;0,04;5,38;0,26;9,2;0,36;1,71
1;Kraków Tyniec;13.05.2013;20;1000;400;0,89;63,75;3,64;225,75;10,55;26,19;4,22;0,12;5,65;0,63;4,46;0,89;0,79
2;Annopol;13.05.2013;20;1000;700;1,56;2,61;0,11;43,15;4,35;6,78;2,79;0,16;2,63;0,37;4,38;0,81;1,67
3;Warszawa;21.06.2013;20;1000;520;1,16;5,14;0,16;45,99;2,26;;;;2,97;0,37;4,62;0,9;1,56
4;Płock;21.06.2013;20;1000;650;1,44;2,69;0,12;29,41;4,01;;;;2,99;0,37;5,05;0,96;1,69
5;Kiezmark;03.06.2013;20;1000;740;1,64;1,42;0,1;9,94;2,23;;;;3,27;0,4;5,71;1,2;1,75
6;Pułtusk;21.06.2013;20;1000;600;1,33;11,48;0,32;41,85;15,71;;;;2,77;0,35;3,61;0,69;1,3
7;Wyszków;21.06.2013;20;1000;750;1,67;8,05;0,24;62,08;4,31;6,18;3,15;0,1;2;0,27;11,59;2,18;5,8
8;Chałupki;13.05.2013;20;1000;460;1,02;8,86;0,4;82,92;8,3;;;;1,66;0,24;4,88;0,88;2,94
9;Wrocław;14.05.2013;20;1000;740;1,64;3,41;0,14;37,13;4,45;;;;5,16;0,58;4,6;0,83;0,89
10;Głogów;14.05.2013;20;1000;447;0,99;11,66;0,38;62,84;4,94;;;;4,42;0,41;4,65;0,88;1,05
11;Krajnik;14.05.2013;20;1000;750;1,67;1,48;0,11;31,17;4,69;;;;2,41;0,16;4,83;0,87;2
12;Poznań;15.05.2013;20;1000;510;1,13;3,62;0,19;43,48;6,44;;;;1,77;0,25;6;1,16;3,39
13;Wigry;15.05.2013;20;1000;750;1,67;5,12;0,17;36,95;6,29;;;;2,33;0,3;2,52;0,48;1,08
14;Wadąg;20.06.2013;20;1000;720;1,6;1,47;0,09;8,82;2,33;;;;1,5;0,22;2,65;0,57;1,77
15;Wielkie Partęczyny;20.06.2013;20;1000;780;1,73;2,58;0,12;21,32;4,04;;;;2,7;0,34;2,16;0,45;0,8
16;Drawsko;15.05.2013;20;1000;790;1,76;3,06;0,13;9,32;2,55;;;;2,81;0,3;3,67;0,72;1,31
17;Niesłysz;14.05.2013;20;1000;580;1,29;7,9;0,26;192,73;10,5;5,77;3,8;0,03;5,63;0,56;2,49;0,49;0,44
18;Rogóźno;13.05.2013;20;1000;770;1,71;11,96;0,32;30,82;4,07;;;;5,88;0,65;8,36;1,63;1,42
1;Kraków Tyniec;27.08.2013;20;1000;710;1,58;1,79;0,06;9,49;1,89;;;;4,18;0,49;2,56;0,52;0,61
2;Annopol;27.08.2013;20;1000;710;1,58;0,98;0,18;29,07;2,88;;;;3,59;0,43;3,25;0,66;0,91
3;Warszawa;01.10.2013;20;1000;702;1,56;1,72;0,05;24,39;3,78;;;;1,92;0,26;3,41;0,7;1,78
4;Płock;01.10.2013;20;1000;750;1,67;0,74;0,05;15,99;3,5;;;;2,82;0,35;1,96;0,4;0,7
5;Kiezmark;13.09.2013;20;1000;750;1,67;1,04;0,41;7,5;2,92;;;;2,64;0,33;1,56;0,33;0,59
6;Pułtusk;12.09.2013;20;1000;740;1,64;5,23;0,17;22,45;3,5;;;;2,43;0,31;2,46;0,5;1,01
7;Wyszków;12.09.2013;20;1000;800;1,78;0,72;0,05;4,89;2,29;;;;4,3;0,49;1,56;0,32;0,36
8;Chałupki;28.08.2013;20;1000;620;1,38;5,18;0,19;30,5;4,89;4,48;2,09;0,15;7,25;0,79;3,01;0,61;0,42
9;Wrocław;28.08.2013;20;1000;720;1,6;3,12;0,13;25,7;3,01;;;;5,3;0,59;3,7;0,76;0,7
10;Głogów;28.05.2013;20;1000;155;1,55;3,04;0,47;15,7;1,8;;;;4,22;0,49;2,54;0,52;0,6
11;Krajnik;28.08.2013;20;1000;770;1,71;3,62;0,19;5,18;2,76;;;;2,03;0,15;3,45;0,7;1,7
12;Poznań;30.08.2013;20;1000;730;1,62;1,03;0,08;15,7;3,45;;;;2,18;0,29;6,22;1,27;2,85
13;Wigry;20.06.2013;20;1000;700;1,56;3,6;0,14;6,38;2,19;;;;2,94;0,36;1,42;0,29;0,48
14;Wadąg;20.06.2013;20;1000;750;1,67;1,17;0,06;21,6;4,32;;;;1,88;0,26;2,26;0,46;1,2
15;Wielkie Partęczyny;20.06.2013;20;1000;790;1,76;4,98;0,17;27,14;4,85;;;;1,06;0,17;1,69;0,34;1,59
16;Drawsko;15.05.2013;20;1000;760;1,69;3,54;0,14;6,62;2,6;;;;0,76;0,14;4,68;0,96;6,16
17;Niesłysz;14.05.2013;20;1000;660;1,47;6,44;0,2;58,7;6,31;7,8;5,04;0,13;2,67;0,34;1,35;0,28;0,51
18;Rogóźno;13.05.2013;20;1000;470;1,04;29,03;0,75;60,02;5,3;8,44;2,06;0,14;5,3;0,59;7,56;1,55;1,43
1;Kraków Tyniec;14.05.2014;20;1000;670;1,49;1,46;0,26;11,1;2,02;;;;4,5;0,52;9,24;1,81;2,05
2;Annopol;14.05.2014;20;1000;700;1,56;4,9;0,28;61,05;5,3;3,09;1,24;0,05;1,34;0,2;5,58;1,03;4,16
3;Warszawa;18.06.2014;20;1000;640;1,42;4,89;0,32;30,75;3,96;;;;2,03;0,3;3,91;0,76;1,93
4;Płock;11.04.2014;20;1000;770;1,71;0,78;0,28;10,24;3,1;;;;3,14;0,38;4,69;0,89;1,49
5;Kiezmark;09.05.2014;20;1000;700;1,56;1,91;0,14;17,33;3,99;;;;2,49;0,32;2,81;0,59;1,13
6;Pułtusk;11.04.2014;20;1000;630;1,4;8,34;0,72;27,7;3,99;;;;2,41;0,31;3,46;0,66;1,44
7;Wyszków;11.04.2014;20;1000;460;1,02;10,1;1,04;93,63;7,19;4,78;1,68;0,05;2,59;0,33;6,04;1,13;2,33
8;Chałupki;15.05.2014;20;1000;500;1,11;13,75;1,08;50,61;3,65;;;;7,67;0,83;4,37;0,79;0,57
9;Wrocław;15.05.2014;20;1000;740;1,64;2,42;0,28;13,92;2,32;3,7;1,26;0,27;4,76;0,55;3,09;0,57;0,65
10;Głogów;15.05.2014;20;1000;120;1,2;12,96;1,78;104,05;6,49;14,04;2,29;0,14;4,39;0,5;3,35;0,65;0,76
11;Krajnik;15.05.2014;20;1000;770;1,71;0,35;0,12;;;;;;5,38;0,6;4,61;0,88;0,86
12;Poznań;16.05.2014;20;1000;700;1,56;1,03;0,24;15,15;2,73;;;;2,49;0,32;4,21;0,81;1,69
13;Wigry;08.06.2014;20;1000;740;1,64;4,77;0,44;7,05;1,91;;;;2,28;0,3;6,73;1,28;2,95
14;Wadąg;08.06.2014;20;1000;660;1,47;1,61;0,52;8,48;3,23;;;;1,64;0,24;3,73;0,73;2,27
15;Wielkie Partęczyny;03.06.2014;20;1000;760;1,69;3,84;0,26;;;;;;3,22;0,39;2,22;0,44;0,69
16;Drawsko;16.05.2014;20;1000;810;1,8;3,86;0,34;;;;;;1,67;0,24;3,23;3,52;1,93
17;Niesłysz;15.05.2014;20;1000;600;1,33;7,03;0,26;33,23;4;;;;3,36;0,38;2,09;0,41;0,62
18;Rogóźno;14.05.2014;20;1000;710;1,58;14,54;1,24;16,13;3,43;;;;5,58;0,63;8,89;1,73;1,59
1;Kraków Tyniec;06.10.2014;20;1000;622,1;1,38;7,52;0,41;43,23;3,67;;;;3,51;0,4;4,55;0,91;1,3
2;Annopol;06.10.2014;20;1000;734;1,63;1,45;0,18;24,35;3,37;;;;4,34;0,48;3,41;0,68;0,8
3;Warszawa;29.08.2014;20;1000;530;1,18;4,01;0,23;65,85;5,13;4;2,13;0,06;3,63;0,43;6,86;1,37;1,9
4;Płock;27.08.2014;20;1000;710;1,58;1,1;0,3;11,61;1,92;;;;1,98;0,27;16,15;3,23;8,2
5;Kiezmark;27.08.2014;20;1000;147,05;1,47;2,57;0,5;26,5;3,78;;;;2,95;0,36;3,56;0,71;1,2
6;Pułtusk;26.08.2014;20;1000;570;1,27;11,25;0,72;30,38;1,91;;;;1,5;0,22;5,23;1,05;3,5
7;Wyszków;26.08.2014;20;1000;690;1,53;1,77;0,3;14,85;1,63;;;;1,9;0,25;4,26;0,85;2,2
8;Chałupki;07.10.2014;20;1000;490;1,09;10,05;0,56;63,85;5,82;3,53;1,42;0,06;2,88;0,41;3,72;0,74;1,3
9;Wrocław;07.10.2014;20;1000;670;1,49;3,33;0,46;24,69;3,3;;;;4,95;0,56;4,77;0,95;1
10;Głogów;07.10.2014;20;1000;819,8;1,82;8,45;0,46;70,92;7,51;7,37;2,45;0,1;1,82;0,25;4,48;0,9;2,5
11;Krajnik;08.10.2014;20;1000;680;1,51;0,5;0,16;4,96;1,38;;;;1,37;0,2;2,52;0,52;1,8
12;Poznań;09.10.2014;20;1000;640;1,42;1,38;0,3;12,8;3,32;;;;1,84;0,29;5,02;1;2,7
13;Wigry;26.08.2014;20;1000;670;1,49;1,56;0,36;;;;;;1,53;0,22;2,93;0,57;1,9
14;Wadąg;26.08.2014;20;1000;610;1,36;6,56;0,4;4,97;1,49;;;;2,04;0,28;4,11;0,82;2
15;Wielkie Partęczyny;27.08.2014;20;1000;825;1,83;5,15;0,5;24,33;3,83;;;;3,87;0,45;2,47;0,49;0,6
16;Drawsko;09.10.2014;20;1000;760;1,69;13,53;0,78;4,22;2,68;;;;3,14;0,38;3,57;0,71;1,1
17;Niesłysz;07.10.2014;20;1000;660;1,47;2,69;0,34;53,54;3,09;3,51;1,23;0,07;5,16;0,63;1,51;0,3;0,3
18;Rogóźno;06.10.2014;20;1000;676,8;1,5;23,02;1,06;20,7;3,65;;;;6,69;0,73;7,29;1,5;1,1
1;Kraków Tyniec;14.04.2015;20;1000;450;1;10,67;0,78;14,95;3,22;;;;1,49;0,24;3,24;0,67;2,17
2;Annopol;14.04.2015;20;1000;620;1,38;2,29;0,18;36,53;3,86;;;;1,75;0,23;3,25;0,67;1,86
3;Warszawa;22.05.2015;20;100;85,4;0,85;7,84;1,88;66,26;6,74;;;;1,49;0,2;3,04;0,63;2,04
4;Płock;24.04.2015;20;1000;730;1,62;0,99;0,08;9,32;2,15;;;;0,74;0,13;3,03;0,62;4,09
5;Kiezmark;24.04.2015;20;1000;770;1,71;1,57;0,1;21,78;2,27;;;;2,75;0,32;3,8;0,78;1,38
6;Pułtusk;23.04.2015;20;1000;580;1,29;14,14;0,96;47,37;4,75;;;;3,58;0,4;3,49;0,67;0,97
7;Wyszków;23.04.2015;20;1000;750;1,67;2,05;0,12;59,46;4,75;3,73;1,07;0,06;2,2;0,27;3,6;0,74;1,64
8;Chałupki;15.04.2015;20;1000;540;1,2;9,63;1,02;5,52;1,63;;;;1,7;0,22;3,49;0,72;2,05
9;Wrocław;15.04.2015;20;1000;720;1,6;2,31;0,12;65,08;6,01;;;;3,45;0,39;3,62;0,75;1,05
10;Głogów;15.04.2015;20;200;121,6;1,22;15,02;2,84;53,45;3,95;;;;2,64;0,32;4,86;1;1,84
11;Krajnik;16.04.2015;20;1000;780;1,73;0,33;0,06;4,04;1,91;;;;1,54;0,2;3,04;0,63;1,97
12;Poznań;17.04.2015;20;1000;680;1,51;1,71;0,14;15,44;3,18;;;;1,89;0,25;3,71;0,76;1,96
13;Wigry;23.04.2015;20;1000;740;1,64;5,32;0,46;13,46;4,2;;;;2,55;0,3;2,21;0,3;0,87
14;Wadąg;23.04.2015;20;1000;700;1,56;1,27;0,12;4,4;1,53;;;;1,53;0,21;2,47;0,21;1,61
15;Wielkie Partęczyny;24.04.2015;20;1000;770;1,71;3,98;0,36;54,97;7,99;2,44;2,44;0,04;2,19;0,26;2,75;0,26;1,26
16;Drawsko;17.04.2015;20;1000;770;1,71;3,2;0,28;5,27;1,95;;;;2,23;0,27;3,21;0,27;1,44
17;Niesłysz;16.04.2015;20;1000;620;1,38;6,09;0,44;67,03;5,94;2,38;1,26;0,04;2,37;0,29;2,47;0,29;1,04
18;Rogóźno;14.04.2015;20;100;86,9;0,87;42,73;9,94;179,17;9,06;9,45;2,02;0,05;3,77;0,43;7,34;0,43;1,95
1;Kraków Tyniec;24.08.2015;20;1000;650;1,44;1,8;0,34;9,52;2,04;;;;3,74;0,42;6,61;1,36;1,8
2;Annopol;24.08.2015;20;1000;620;1,38;1,49;0,34;26,47;4,76;;;;2,72;0,32;2,72;0,56;1
3;Warszawa;16.09.2015;20;1000;700;1,56;0,64;0,22;6,58;2,68;;;;3,58;0,38;2,91;0,09;0,8
4;Płock;21.08.2015;20;1000;690;1,53;1,28;0,2;11,3;3,26;;;;1,98;0,25;2,82;0,58;1,4
5;Kiezmark;21.08.2015;20;1000;640;1,42;2,52;0,14;8,87;3,3;;;;1,77;0,23;3,26;0,67;1,8
6;Pułtusk;20.08.2015;20;1000;730;1,62;4,68;0,5;4,93;3,56;;;;2,55;0,3;2,37;0,49;0,9
7;Wyszków;20.08.2015;20;1000;790;1,76;0,59;0,12;6,34;2,13;;;;3,95;0,44;1,87;0,39;0,5
8;Chałupki;25.08.2015;20;1000;650;1,44;3,57;0,6;18,7;3,45;;;;3,01;0,33;4,29;0,88;1,4
9;Wrocław;25.08.2015;20;1000;730;1,62;1,01;0,26;14,79;4,54;;;;4,11;0,46;3,94;0,81;1
10;Głogów;25.08.2015;20;1000;640;1,42;1,86;0,18;9,42;2,44;;;;3,83;0,43;5,15;1,06;1,3
11;Krajnik;26.08.2015;20;1000;800;1,78;0,4;0,22;3,87;1,4;;;;3,07;0,36;2,79;0,57;0,9
12;Poznań;27.08.2015;20;1000;760;1,69;0,67;0,06;15,33;3,29;;;;2,28;0,27;2,39;0,49;1
13;Wigry;20.08.2015;20;1000;770;1,71;5,05;0,46;15,75;4,07;;;;1,23;0,18;1,87;0,18;1,5
14;Wadąg;20.08.2015;20;1000;730;1,62;1,26;0,08;4,7;2,59;;;;2,81;0,33;2,79;0,33;1
15;Wielkie Partęczyny;21.08.2015;20;1000;730;1,62;7,6;0,58;26,21;5,84;;;;3,21;0,37;2,55;0,37;0,8
16;Drawsko;27.08.2015;20;1000;760;1,69;3,36;0,14;3,85;3,93;;;;1,5;0,2;4,44;0,2;3
17;Niesłysz;26.08.2015;20;1000;580;1,29;6,31;0,44;89,98;8,27;2,77;1,57;0,03;1,65;0,21;3,12;0,21;1,9
18;Rogóźno;24.08.2015;20;1000;620;1,38;11,52;0,78;39,58;4,16;2,47;1,17;0,06;4,87;0,53;9,01;0,53;1,9
1;Kraków Tyniec;09.05.2016;20;1000;450;1;5,23;0,86;33,75;2,69;;;;1,49;0,24;3,24;0,67;2,17
2;Annopol;09.05.2016;20;1000;620;1,38;2,64;0,13;35,06;3,51;;;;1,75;0,23;3,25;0,67;1,86
3;Warszawa;28.04.2016;20;100;85,4;0,85;8,76;0,37;98,97;5,39;;;;1,49;0,2;3,04;0,63;2,04
4;Płock;06.04.2016;20;1000;730;1,62;0,25;0,06;8,56;2,49;;;;0,74;0,13;3,03;0,62;4,09
5;Kiezmark;06.04.2016;20;1000;770;1,71;5,56;0,31;24,23;3,1;;;;2,75;0,32;3,8;0,78;1,38
6;Pułtusk;05.04.2016;20;1000;580;1,29;15,28;0,76;25,55;2,93;;;;3,58;0,4;3,49;0,67;0,97
7;Wyszków;05.04.2016;20;1000;750;1,67;4,92;0,69;22,71;3,37;;;;2,2;0,27;3,6;0,74;1,64
8;Chałupki;10.05.2016;20;1000;540;1,2;8,59;0,89;38,01;2,83;;;;1,7;0,22;3,49;0,72;2,05
9;Wrocław;10.05.2016;20;1000;720;1,6;1,51;0,08;9,5;1,97;;;;3,45;0,39;3,62;0,75;1,05
10;Głogów;10.05.2016;20;200;121,6;1,22;6,81;0,54;18,54;2,08;;;;2,64;0,32;4,86;1;1,84
11;Krajnik;11.05.2016;20;1000;780;1,73;2,7;0,15;21,28;1,88;;;;1,54;0,2;3,04;0,63;1,97
12;Poznań;12.05.2016;20;1000;680;1,51;0,89;0,13;9,52;3,03;;;;1,89;0,25;3,71;0,76;1,96
13;Wigry;12.05.2016;20;1000;740;1,64;4,32;0,24;6,64;2,02;;;;2,55;0,3;2,21;0,3;0,87
14;Wadąg;05.04.2016;20;1000;700;1,56;1,36;0,28;2,03;2,03;;;;1,53;0,21;2,47;0,21;1,61
15;Wielkie Partęczyny;06.04.2016;20;1000;770;1,71;6,29;0,31;4,02;1,44;;;;2,19;0,26;2,75;0,26;1,26
16;Drawsko;09.05.2016;20;1000;770;1,71;2,99;0,13;16,07;3,08;;;;2,23;0,27;3,21;0,27;1,44
17;Niesłysz;10.05.2016;20;1000;620;1,38;5,65;0,35;27,1;3,94;;;;2,37;0,29;2,47;0,29;1,04
18;Rogóźno;05.04.2016;20;100;86,9;0,87;44,33;2,12;93,61;6,61;;;;3,77;0,43;7,34;0,43;1,95
1;Kraków Tyniec;11.10.2016;20;1000;500;1,11;6,42;0,17;32,15;3,01;;;;3,97;0,46;4,68;1,01;1,2
2;Annopol;11.10.2016;20;1000;470;1,04;4,61;0,12;120,02;7,45;;;;3,1;0,36;4,96;1,07;1,6
3;Warszawa;28.10.2016;20;1000;400;0,89;7,78;0,17;69,6;4,07;;;;0,95;0,16;3,25;0,7;3,4
4;Płock;23.09.2016;20;1000;690;1,53;0,24;0,13;<2;;;;;2,75;0,34;2,61;0,56;0,9
5;Kiezmark;23.09.2016;20;1000;800;1,78;1,03;0,06;7,16;2,05;;;;0,92;0,15;3,13;0,67;3,4
6;Pułtusk;22.09.2016;20;1000;681;1,51;4,93;0,12;8,25;2,4;;;;1,45;0,2;4,28;0,95;3
7;Wyszków;22.09.2016;20;1000;790;1,76;0,43;0,12;3,1;1,45;;;;1,86;0,25;2,03;0,44;1,1
8;Chałupki;12.10.2016;20;1000;360;0,8;14,45;0,38;167,05;8,94;;;;4,23;0,47;3,49;0,75;0,8
9;Wrocław;12.10.2016;20;1000;740;1,64;0,84;0,08;6,04;1,86;;;;2,84;0,35;3,51;0,37;1,2
10;Głogów;12.10.2016;20;1000;680;1,51;1,88;0,1;11,1;2,19;;;;3,27;0,38;4,07;0,87;1,2
11;Krajnik;13.10.2016;20;1000;650;1,44;0,46;0,05;6,72;1,95;;;;3,76;0,43;2,43;0,53;0,6
12;Poznań;14.10.2016;20;1000;760;1,69;0,88;0,2;7,62;2,12;;;;2,74;0,34;11,56;2,5;4,2
13;Wigry;14.10.2016;20;1000;680;1,51;4,03;0,09;2,34;1,43;;;;1,8;0,24;1,96;0,42;1,1
14;Wadąg;22.09.2016;20;1000;740;1,64;2,09;0,07;8,12;1,95;;;;1,98;0,26;0,78;0,17;0,4
15;Wielkie Partęczyny;23.09.2016;20;1000;730;1,62;3,13;0,42;2,11;1,38;;;;1,12;0,17;2,46;0,53;2,2
16;Drawsko;11.10.2016;20;1000;780;1,73;2,79;0,08;6,65;2,23;;;;0,74;0,13;2,84;0,61;3,8
17;Niesłysz;12.10.2016;20;1000;660;1,47;6,33;0,11;24,34;3,74;;;;2,23;0,28;3,86;0,83;1,7
18;Rogóźno;22.09.2016;20;1000;94;0,94;109;1,8;418,75;16,46;11,56;2,22;0,03;2,1;0,27;9,46;2,04;4,5
1;Kraków Tyniec;07.06.2017;20;1000;687;1,53;4,39;0,29;27,51;3,65;3,36;1,34;0,49;4,98;0,55;2,24;0,22;0,45
2;Annopol;07.06.2017;20;1000;642;1,43;1,82;0,17;21,56;2,67;<2;;;0,82;0,13;2,47;0,26;3,01
3;Warszawa;19.06.2017;20;1000;692;6,92;1,97;0,14;18,39;2,31;4,54;1,17;0,81;<0,4;;1,94;0,22;
4;Płock;21.04.2017;20;1000;765;1,7;1,08;0,06;13,33;2,07;<2;;;<0,4;;4,05;0,38;
5;Kiezmark;21.04.2017;20;1000;672;1,49;3,82;0,1;22,97;2,82;<2;;;3,38;0,39;4,05;0,4;1,2
6;Pułtusk;20.04.2017;20;1000;714;1,59;4,48;0,15;11,77;1,7;<2;;;2,56;0,31;4,81;0,55;1,88
7;Wyszków;20.04.2017;20;1000;585;1,3;4,91;0,17;34,42;3,22;<2;;;2,65;0,31;5,59;0,69;2,11
8;Chałupki;08.06.2017;20;1000;631;1,4;4,89;0,28;20,63;6,22;<2;;;3,93;0,44;2,81;0,26;0,72
9;Wrocław;08.06.2017;20;1000;771;1,71;0,56;0,07;5,51;1,65;<2;;;4,31;0,48;3,14;0,31;0,73
10;Głogów;08.06.2017;20;1000;785;1,74;2,64;0,16;10,86;2,33;<2;;;3,35;0,39;2,73;0,27;0,81
11;Krajnik;09.06.2017;20;1000;725;1,61;0,95;0,09;8,19;1,75;<2;;;1,97;0,26;2,45;0,19;1,24
