Województwo,Miejscowość,Nazwa punktu pomiarowego,Współrz. pp WGS84 (dł. geogr.),Współrz. pp WGS84 (szer. geogr.),Cel pomiaru,Data rozpoczęcia,Data zakończenia,Nazwa odcinka drogi,Kod punktu pomiarowego,Czas odniesienia,Laeq po korekcie [dB]
dolnośląskie,Bolesławiec,al. 1000-lecia,"15,583008","51,260757","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Bolesławiec, al. 1000-lecia (szpital)",D_02_000167_001,Noc 8h,"57,5"
dolnośląskie,Bolesławiec,al. 1000-lecia,"15,583008","51,260757","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Bolesławiec, al. 1000-lecia (szpital)",D_02_000167_001,Noc 8h,"57,8"
dolnośląskie,Bolesławiec,al. 1000-lecia,"15,583008","51,260757","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Bolesławiec, al. 1000-lecia (szpital)",D_02_000167_001,Noc 8h,"58,1"
dolnośląskie,Bolesławiec,al. 1000-lecia,"15,583008","51,260757","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Bolesławiec, al. 1000-lecia (szpital)",D_02_000167_001,Noc 8h,"58,5"
dolnośląskie,Bolesławiec,al. 1000-lecia,"15,583008","51,260757","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Bolesławiec, al. 1000-lecia (szpital)",D_02_000167_001,Noc 8h,"59,2"
dolnośląskie,Bolesławiec,al. 1000-lecia,"15,583008","51,260757","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Bolesławiec, al. 1000-lecia (szpital)",D_02_000167_001,Noc 8h,"59,6"
dolnośląskie,Bolesławiec,al. 1000-lecia,"15,583008","51,260757","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Bolesławiec, al. 1000-lecia (szpital)",D_02_000167_001,Wieczór 4h,"60,9"
dolnośląskie,Bolesławiec,al. 1000-lecia,"15,583008","51,260757","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Bolesławiec, al. 1000-lecia (szpital)",D_02_000167_001,Wieczór 4h,"61,8"
dolnośląskie,Bolesławiec,al. 1000-lecia,"15,583008","51,260757","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Bolesławiec, al. 1000-lecia (szpital)",D_02_000167_001,Wieczór 4h,63
dolnośląskie,Bolesławiec,al. 1000-lecia,"15,583008","51,260757","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Bolesławiec, al. 1000-lecia (szpital)",D_02_000167_001,Wieczór 4h,"63,2"
dolnośląskie,Bolesławiec,al. 1000-lecia,"15,583008","51,260757","Państwowy monitoring środowiska, art. 26 Poś",2018-01-01 00:00:00,2018-12-31 23:59:00,"Bolesławiec, al. 1000-lecia (szpital)",D_02_000167_001,Wieczór 4h,"63,5"
