Województwo,Miejscowość,Nazwa punktu pomiarowego,Współrz. pp WGS84 (dł. geogr.),Współrz. pp WGS84 (szer. geogr.),Cel pomiaru,Data rozpoczęcia,Data zakończenia,Nazwa odcinka drogi,Kod punktu pomiarowego,Czas odniesienia,Laeq po korekcie [dB]
dolnośląskie,Gać,P_D_DK94_1,"17,358425","50,889567","Państwowy monitoring środowiska, art. 26 Poś",2019-11-07 18:30:00,2019-11-08 18:30:00,DK 94 - miejscowość Gać,D_02_000364_001,Dzień 16h,"71,3"
dolnośląskie,Gać,P_D_DK94_1,"17,358425","50,889567","Państwowy monitoring środowiska, art. 26 Poś",2019-11-07 18:30:00,2019-11-08 18:30:00,DK 94 - miejscowość Gać,D_02_000364_001,Noc 8h,"66,9"
dolnośląskie,Jawor,Kuziennicza 20,"16,198528","51,057667","Państwowy monitoring środowiska, art. 26 Poś",2019-04-04 11:12:00,2019-07-08 19:35:00,"Jawor, ul. Kuziennicza",D_02_000142_003,Dzień 16h,"64,9"
dolnośląskie,Jawor,Kuziennicza 20,"16,198528","51,057667","Państwowy monitoring środowiska, art. 26 Poś",2019-06-26 22:00:00,2019-06-26 23:00:00,"Jawor, ul. Kuziennicza",D_02_000142_003,Noc 8h,"55,2"
dolnośląskie,Jawor,Limanowskiego 19,"16,183222","51,055861","Państwowy monitoring środowiska, art. 26 Poś",2019-04-16 10:17:00,2019-11-25 18:54:00,"Jawor, ul. Limanowskiego 19",D_02_000372_001,Dzień 16h,"68,9"
dolnośląskie,Jawor,Limanowskiego 19,"16,183222","51,055861","Państwowy monitoring środowiska, art. 26 Poś",2019-06-11 22:00:00,2019-06-11 23:00:00,"Jawor, ul. Limanowskiego 19",D_02_000372_001,Noc 8h,"59,1"
dolnośląskie,Jawor,Mickiewicza 35D,"16,188833","51,043278","Państwowy monitoring środowiska, art. 26 Poś",2019-04-01 11:41:00,2019-11-25 19:43:00,"Jawor, ul. Mickiewicza 35D",D_02_000141_001,Dzień 16h,"66,5"
dolnośląskie,Jawor,Mickiewicza 35D,"16,188833","51,043278","Państwowy monitoring środowiska, art. 26 Poś",2019-06-05 22:00:00,2019-06-05 23:00:00,"Jawor, ul. Mickiewicza 35D",D_02_000141_001,Noc 8h,"58,4"
dolnośląskie,Jawor,Starojaworska 27,"16,184278","51,058111","Państwowy monitoring środowiska, art. 26 Poś",2019-04-16 09:07:00,2019-07-08 18:41:00,"Jawor, ul. Starojaworska",D_02_000371_001,Dzień 16h,"66,6"
dolnośląskie,Jawor,Starojaworska 27,"16,184278","51,058111","Państwowy monitoring środowiska, art. 26 Poś",2019-06-12 22:03:00,2019-06-12 22:41:00,"Jawor, ul. Starojaworska",D_02_000371_001,Noc 8h,"57,9"
