Województwo ,Kod punktu pomiarowego ,Nazwa punktu pomiarowego ,Miejscowość ,Współrz. pp WGS84 (dł. geogr.) ,Współrz. pp WGS84 (szer. geogr.) ,Cel pomiaru ,Data rozpoczęcia ,Data zakończenia ,Nazwa odcinka drogi ,Czas odniesienia ,Laeq po korekcie [dB] ,
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",8.07.2021,12.07.2021,Droga Krajowa DK94 Brzesko - Bochnia,Wieczór 4h,"67,9",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",8.07.2021,12.07.2021,Droga Krajowa DK94 Brzesko - Bochnia,Wieczór 4h,"65,6",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",8.07.2021,12.07.2021,Droga Krajowa DK94 Brzesko - Bochnia,Wieczór 4h,"67,9",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",8.07.2021,12.07.2021,Droga Krajowa DK94 Brzesko - Bochnia,Wieczór 4h,69,
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",6.10.2021,10.10.2021,Droga Krajowa DK94 Brzesko - Bochnia,Dzień 12h,"70,1",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",6.10.2021,10.10.2021,Droga Krajowa DK94 Brzesko - Bochnia,Dzień 12h,"70,2",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",6.10.2021,10.10.2021,Droga Krajowa DK94 Brzesko - Bochnia,Dzień 12h,"67,9",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",6.10.2021,10.10.2021,Droga Krajowa DK94 Brzesko - Bochnia,Dzień 12h,"65,6",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",6.10.2021,10.10.2021,Droga Krajowa DK94 Brzesko - Bochnia,Dzień 16h,"69,6",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",6.10.2021,10.10.2021,Droga Krajowa DK94 Brzesko - Bochnia,Dzień 16h,"67,5",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",6.10.2021,10.10.2021,Droga Krajowa DK94 Brzesko - Bochnia,Dzień 16h,66,
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",6.10.2021,10.10.2021,Droga Krajowa DK94 Brzesko - Bochnia,Noc 8h,"64,5",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",6.10.2021,10.10.2021,Droga Krajowa DK94 Brzesko - Bochnia,Noc 8h,"64,6",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",6.10.2021,10.10.2021,Droga Krajowa DK94 Brzesko - Bochnia,Noc 8h,"62,8",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",6.10.2021,10.10.2021,Droga Krajowa DK94 Brzesko - Bochnia,Noc 8h,"61,1",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",6.10.2021,10.10.2021,Droga Krajowa DK94 Brzesko - Bochnia,Wieczór 4h,"67,3",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",6.10.2021,10.10.2021,Droga Krajowa DK94 Brzesko - Bochnia,Wieczór 4h,"67,5",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",6.10.2021,10.10.2021,Droga Krajowa DK94 Brzesko - Bochnia,Wieczór 4h,"66,1",
małopolskie,D_12_000296_001,63,Bochnia,"20,461944","49,976528","Państwowy monitoring środowiska, art. 26 Poś",6.10.2021,10.10.2021,Droga Krajowa DK94 Brzesko - Bochnia,Wieczór 4h,"67,2",
małopolskie,D_12_000297_001,67,Opatkowice,"20,305056","50,204972","Państwowy monitoring środowiska, art. 26 Poś",18.10.2021,19.10.2021,Droga wojewódzka DW 776 Proszowice - gr. województwa,Dzień 16h,"69,8",
małopolskie,D_12_000297_001,67,Opatkowice,"20,305056","50,204972","Państwowy monitoring środowiska, art. 26 Poś",18.10.2021,19.10.2021,Droga wojewódzka DW 776 Proszowice - gr. województwa,Noc 8h,"63,9",
małopolskie,D_12_000298_001,21/2k,Chełmiec,"20,6565","49,630472","Państwowy monitoring środowiska, art. 26 Poś",30.09.2021,1.10.2021,DK 28 - ulica Limanowska w miejscowości Chełmiec,Dzień 16h,"69,1",
małopolskie,D_12_000298_001,21/2k,Chełmiec,"20,6565","49,630472","Państwowy monitoring środowiska, art. 26 Poś",30.09.2021,1.10.2021,DK 28 - ulica Limanowska w miejscowości Chełmiec,Noc 8h,"62,2",
małopolskie,D_12_000299_001,21/3k,Nowa Wieś,"20,884694","49,51275","Państwowy monitoring środowiska, art. 26 Poś",4.10.2021,5.10.2021,DK 75 w miejscowości Łabowa,Dzień 16h,"68,6",
małopolskie,D_12_000299_001,21/3k,Nowa Wieś,"20,884694","49,51275","Państwowy monitoring środowiska, art. 26 Poś",4.10.2021,5.10.2021,DK 75 w miejscowości Łabowa,Noc 8h,"61,8",
małopolskie,D_12_000300_001,21/4k,Gorlice,"21,144194","49,668306","Państwowy monitoring środowiska, art. 26 Poś",11.10.2021,12.10.2021,DW 977 w miejscowości Gorlice,Dzień 16h,"66,6",
małopolskie,D_12_000300_001,21/4k,Gorlice,"21,144194","49,668306","Państwowy monitoring środowiska, art. 26 Poś",11.10.2021,12.10.2021,DW 977 w miejscowości Gorlice,Noc 8h,"57,8",
małopolskie,D_12_000301_001,21/5k,Jabłonka,"19,69875","49,479556","Państwowy monitoring środowiska, art. 26 Poś",19.10.2021,20.10.2021,DW 957 w miejscowości Jabłonka,Dzień 16h,"68,5",
małopolskie,D_12_000301_001,21/5k,Jabłonka,"19,69875","49,479556","Państwowy monitoring środowiska, art. 26 Poś",19.10.2021,20.10.2021,DW 957 w miejscowości Jabłonka,Noc 8h,"61,9",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Dzień 12h,69,
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Dzień 12h,"68,1",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Dzień 12h,"66,9",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Dzień 12h,"66,1",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Dzień 12h,"67,6",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Dzień 12h,"65,8",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Dzień 12h,"68,9",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Dzień 12h,"68,5",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Noc 8h,"62,7",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Noc 8h,"61,9",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Noc 8h,"63,1",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Noc 8h,"60,5",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Noc 8h,"63,2",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Noc 8h,"62,2",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Noc 8h,"63,3",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Noc 8h,"62,7",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Wieczór 4h,"66,1",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Wieczór 4h,68,
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Wieczór 4h,"66,7",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Wieczór 4h,"67,3",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Wieczór 4h,"65,5",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Wieczór 4h,"65,8",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Wieczór 4h,"65,2",
małopolskie,D_12_000302_001,21/1LDWN,Nowy Sącz,"20,665889","49,639306","Państwowy monitoring środowiska, art. 26 Poś",9.06.2021,26.10.2021,DK 28 ulica Marcinkowicka w Nowym Sączu,Wieczór 4h,"66,6",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"70,3",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,70,
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"69,9",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"70,1",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"68,8",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"66,8",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,70,
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"68,3",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"67,4",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"69,3",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,69,
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"69,4",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"68,2",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"71,2",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"69,7",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"69,2",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,71,
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"71,1",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"69,7",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"70,9",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 12h,"70,7",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"69,7",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"69,5",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"69,6",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"68,3",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"66,8",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"69,5",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"68,3",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,69,
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"68,7",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"69,1",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"67,9",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"70,8",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"69,5",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"69,3",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"70,7",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"69,7",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"70,4",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Dzień 16h,"70,2",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"64,1",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"63,8",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"63,9",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"64,6",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"61,9",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"61,7",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"64,4",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"63,8",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"63,7",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"62,8",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"64,7",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"64,8",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"63,6",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"64,8",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"64,4",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,63,
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"65,2",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"65,4",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,64,
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"65,5",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"65,1",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Noc 8h,"65,2",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Wieczór 4h,"67,6",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Wieczór 4h,"67,2",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Wieczór 4h,"67,6",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Wieczór 4h,68,
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Wieczór 4h,"66,5",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Wieczór 4h,"66,9",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Wieczór 4h,"67,3",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Wieczór 4h,"67,5",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Wieczór 4h,"68,1",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Wieczór 4h,"67,7",
małopolskie,D_12_000303_001,P1,Zelczyna,"19,740667","49,958722","Państwowy monitoring środowiska, art. 26 Poś",15.03.2021,6.10.2021,Droga krajowa nr 44 Skawina - Zator,Wieczór 4h,"67,6",
