Województwo,Kod punktu pomiarowego,Nazwa punktu pomiarowego,Miejscowość,Współrz. pp WGS84 (dł. geogr.),Współrz. pp WGS84 (szer. geogr.),Cel pomiaru,Data rozpoczęcia,Data zakończenia,Nazwa odcinka drogi,Czas odniesienia,Laeq po korekcie [dB]
dolnośląskie,D_02_000716_001,Boboszów 45A (2023),Boboszów,16.685889,50.118222,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-29,2023-06-30,Boboszów DK 33,Noc 8h,55.4
dolnośląskie,D_02_000717_001,P1,Wrocław,16.990947,51.139822,Analiza porealizacyjna,2023-02-15,2023-02-16,Obwodnica Śródmiejska - ul. Lipska,Dzień 16h,60.2
dolnośląskie,D_02_000717_001,P1,Wrocław,16.990947,51.139822,Analiza porealizacyjna,2023-02-15,2023-02-16,Obwodnica Śródmiejska - ul. Lipska,Noc 8h,53.8
dolnośląskie,D_02_000717_002,P2,Wrocław,16.991036,51.141869,Analiza porealizacyjna,2023-02-15,2023-02-16,Obwodnica Śródmiejska - ul. Lipska,Dzień 16h,58.5
dolnośląskie,D_02_000717_002,P2,Wrocław,16.991036,51.141869,Analiza porealizacyjna,2023-02-15,2023-02-16,Obwodnica Śródmiejska - ul. Lipska,Noc 8h,52.5
dolnośląskie,D_02_000717_003,P3,Wrocław,16.990247,51.142478,Analiza porealizacyjna,2023-02-15,2023-02-16,Obwodnica Śródmiejska - ul. Lipska,Dzień 16h,55.3
dolnośląskie,D_02_000717_003,P3,Wrocław,16.990247,51.142478,Analiza porealizacyjna,2023-02-15,2023-02-16,Obwodnica Śródmiejska - ul. Lipska,Noc 8h,49.7
dolnośląskie,D_02_000717_004,P4,Wrocław,16.989206,51.142675,Analiza porealizacyjna,2023-02-15,2023-02-16,Obwodnica Śródmiejska - ul. Lipska,Dzień 16h,57.5
dolnośląskie,D_02_000717_004,P4,Wrocław,16.989206,51.142675,Analiza porealizacyjna,2023-02-15,2023-02-16,Obwodnica Śródmiejska - ul. Lipska,Noc 8h,51.6
dolnośląskie,D_02_000717_005,P6,Wrocław,16.987831,51.143686,Analiza porealizacyjna,2023-02-15,2023-02-16,Obwodnica Śródmiejska - ul. Lipska,Dzień 16h,59.4
dolnośląskie,D_02_000717_005,P6,Wrocław,16.987831,51.143686,Analiza porealizacyjna,2023-02-15,2023-02-16,Obwodnica Śródmiejska - ul. Lipska,Noc 8h,52.7
dolnośląskie,D_02_000717_006,P5,Wrocław,16.988036,51.143533,Analiza porealizacyjna,2023-02-15,2023-02-16,Obwodnica Śródmiejska - ul. Lipska,Dzień 16h,62.5
dolnośląskie,D_02_000717_006,P5,Wrocław,16.988036,51.143533,Analiza porealizacyjna,2023-02-15,2023-02-16,Obwodnica Śródmiejska - ul. Lipska,Noc 8h,56.5
dolnośląskie,D_02_000718_001,Paszowice 302,Paszowice,16.186556,51.038694,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-10,2023-10-11,Paszowice DW nr 320,Dzień 16h,61.3
dolnośląskie,D_02_000718_001,Paszowice 302,Paszowice,16.186556,51.038694,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-10,2023-10-11,Paszowice DW nr 320,Noc 8h,50.3
dolnośląskie,D_02_000719_001,Wieniawskiego 11,Jawor,16.187806,51.0595,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-20,2023-07-21,Jawor DW nr 320,Dzień 16h,65.1
dolnośląskie,D_02_000719_001,Wieniawskiego 11,Jawor,16.187806,51.0595,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-20,2023-07-21,Jawor DW nr 320,Noc 8h,57.7
dolnośląskie,D_02_000720_001,Jawor ul. Myśliborska,,16.184861,51.046583,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-04,2023-10-05,Jawor droga powiatowa nr 2822D,Dzień 16h,55.3
dolnośląskie,D_02_000720_001,Jawor ul. Myśliborska,,16.184861,51.046583,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-04,2023-10-05,Jawor droga powiatowa nr 2822D,Noc 8h,46.6
dolnośląskie,D_02_000721_001,Jawor Starojaworska 29b,,16.183278,51.059833,"Państwowy monitoring środowiska, art. 26 Poś",2023-05-17,2023-05-18,Jawor droga powiatowa 2786D,Dzień 16h,62.3
dolnośląskie,D_02_000721_001,Jawor Starojaworska 29b,,16.183278,51.059833,"Państwowy monitoring środowiska, art. 26 Poś",2023-05-17,2023-05-18,Jawor droga powiatowa 2786D,Noc 8h,56
dolnośląskie,D_02_000722_001,Zębowice 32J,Zębowice,16.209194,51.045389,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-12,2023-10-13,Zębowice DW nr 382,Dzień 16h,64.2
dolnośląskie,D_02_000722_001,Zębowice 32J,Zębowice,16.209194,51.045389,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-12,2023-10-13,Zębowice DW nr 382,Noc 8h,56.2
dolnośląskie,D_02_000723_001,Białogórska 28,Bogatynia,14.953472,50.899139,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-24,2023-10-25,droga nr 2361D ul. Białogórska,Dzień 16h,58.8
dolnośląskie,D_02_000723_001,Białogórska 28,Bogatynia,14.953472,50.899139,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-24,2023-10-25,droga nr 2361D ul. Białogórska,Noc 8h,53.6
dolnośląskie,D_02_000724_001,Żołnierzy II AWP 4,Bogatynia,14.960583,50.903139,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-26,2023-10-27,Bogatynia ul. Żołnierzy II AWP,Dzień 16h,65.1
dolnośląskie,D_02_000724_001,Żołnierzy II AWP 4,Bogatynia,14.960583,50.903139,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-26,2023-10-27,Bogatynia ul. Żołnierzy II AWP,Noc 8h,57.7
dolnośląskie,D_02_000725_001,Bogatynia ul. Młodych Energetyków,Bogatynia,14.908722,50.945972,"Państwowy monitoring środowiska, art. 26 Poś",2023-11-21,2023-11-22,DW nr 352 Bogatynia,Dzień 16h,67.4
dolnośląskie,D_02_000725_001,Bogatynia ul. Młodych Energetyków,Bogatynia,14.908722,50.945972,"Państwowy monitoring środowiska, art. 26 Poś",2023-11-21,2023-11-22,DW nr 352 Bogatynia,Noc 8h,62.3
dolnośląskie,D_02_000726_001,Bolków ul. Kolejowa,Bolków,16.105194,50.926667,"Państwowy monitoring środowiska, art. 26 Poś",2023-09-28,2023-09-29,Bolków DW nr 320,Dzień 16h,61.4
dolnośląskie,D_02_000726_001,Bolków ul. Kolejowa,Bolków,16.105194,50.926667,"Państwowy monitoring środowiska, art. 26 Poś",2023-09-28,2023-09-29,Bolków DW nr 320,Noc 8h,52.2
dolnośląskie,D_02_000727_001,"Bolków, ul. Jeleniogórska 24",Bolków,16.095278,50.923389,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-10,2023-10-11,Bolków DW nr 363,Dzień 16h,59.2
dolnośląskie,D_02_000727_001,"Bolków, ul. Jeleniogórska 24",Bolków,16.095278,50.923389,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-10,2023-10-11,Bolków DW nr 363,Noc 8h,48.1
dolnośląskie,D_02_000728_001,"Bolków, ul. Rycerska 28",Bolków,16.100556,50.918528,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-12,2023-10-13,Bolków DW nr 327,Dzień 16h,59.9
dolnośląskie,D_02_000728_001,"Bolków, ul. Rycerska 28",Bolków,16.100556,50.918528,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-12,2023-10-13,Bolków DW nr 327,Noc 8h,50.3
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-01-01,2023-01-31,Plac Poznański,Dzień 12h,62.8
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-01-01,2023-01-31,Plac Poznański,Dzień 16h,62.4
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-01-01,2023-01-31,Plac Poznański,Noc 8h,54.2
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-01-01,2023-01-31,Plac Poznański,Wieczór 4h,61.4
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-02-01,2023-02-28,Plac Poznański,Dzień 12h,62.9
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-02-01,2023-02-28,Plac Poznański,Dzień 16h,62.5
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-02-01,2023-02-28,Plac Poznański,Noc 8h,54.2
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-02-01,2023-02-28,Plac Poznański,Wieczór 4h,61.1
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-03-01,2023-03-31,Plac Poznański,Dzień 12h,63
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-03-01,2023-03-31,Plac Poznański,Dzień 16h,62.6
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-03-01,2023-03-31,Plac Poznański,Noc 8h,54.5
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-03-01,2023-03-31,Plac Poznański,Wieczór 4h,61.3
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-04-01,2023-04-30,Plac Poznański,Dzień 12h,62.3
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-04-01,2023-04-30,Plac Poznański,Dzień 16h,62.1
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-04-01,2023-04-30,Plac Poznański,Noc 8h,54.2
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-04-01,2023-04-30,Plac Poznański,Wieczór 4h,61.3
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-05-01,2023-05-31,Plac Poznański,Dzień 12h,62
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-05-01,2023-05-31,Plac Poznański,Dzień 16h,61.7
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-05-01,2023-05-31,Plac Poznański,Noc 8h,54.2
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-05-01,2023-05-31,Plac Poznański,Wieczór 4h,60.7
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-01,2023-06-30,Plac Poznański,Dzień 12h,61.1
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-01,2023-06-30,Plac Poznański,Dzień 16h,60.9
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-01,2023-06-30,Plac Poznański,Noc 8h,54.4
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-01,2023-06-30,Plac Poznański,Wieczór 4h,60.3
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-01,2023-07-31,Plac Poznański,Dzień 12h,61.3
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-01,2023-07-31,Plac Poznański,Dzień 16h,61.1
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-01,2023-07-31,Plac Poznański,Noc 8h,54
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-01,2023-07-31,Plac Poznański,Wieczór 4h,60.6
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-08-01,2023-08-31,Plac Poznański,Dzień 12h,62
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-08-01,2023-08-31,Plac Poznański,Dzień 16h,61.7
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-08-01,2023-08-31,Plac Poznański,Noc 8h,54.4
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-08-01,2023-08-31,Plac Poznański,Wieczór 4h,60.9
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-09-01,2023-09-30,Plac Poznański,Dzień 12h,61.7
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-09-01,2023-09-30,Plac Poznański,Dzień 16h,61.4
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-09-01,2023-09-30,Plac Poznański,Noc 8h,54.1
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-09-01,2023-09-30,Plac Poznański,Wieczór 4h,60.5
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-01,2023-10-31,Plac Poznański,Dzień 12h,63.4
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-01,2023-10-31,Plac Poznański,Dzień 16h,63
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-01,2023-10-31,Plac Poznański,Noc 8h,55
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-10-01,2023-10-31,Plac Poznański,Wieczór 4h,61.7
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-11-01,2023-11-30,Plac Poznański,Dzień 12h,63.8
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-11-01,2023-11-30,Plac Poznański,Dzień 16h,63.3
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-11-01,2023-11-30,Plac Poznański,Noc 8h,55.3
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-11-01,2023-11-30,Plac Poznański,Wieczór 4h,62.1
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-12-01,2023-12-31,Plac Poznański,Dzień 12h,63.6
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-12-01,2023-12-31,Plac Poznański,Dzień 16h,63.3
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-12-01,2023-12-31,Plac Poznański,Noc 8h,55.4
kujawsko-pomorskie,D_04_000005_001,"Plac Poznański , Bydgoszcz, ciągły roczny",Bydgoszcz,17.987975,53.12175,"Państwowy monitoring środowiska, art. 26 Poś",2023-12-01,2023-12-31,Plac Poznański,Wieczór 4h,62.2
kujawsko-pomorskie,D_04_000011_003,"Kcynia, ul. Nakielska 8",Kcynia,17.498694,52.995722,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-27,2023-06-28,ul. Nakielska (DW 241),Dzień 16h,62.9
kujawsko-pomorskie,D_04_000011_003,"Kcynia, ul. Nakielska 8",Kcynia,17.498694,52.995722,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-27,2023-06-28,ul. Nakielska (DW 241),Noc 8h,54.9
kujawsko-pomorskie,D_04_000011_003,"Kcynia, ul. Nakielska 8",Kcynia,17.498694,52.995722,"Państwowy monitoring środowiska, art. 26 Poś",2023-09-14,2023-09-15,ul. Nakielska (DW 241),Dzień 16h,62.4
kujawsko-pomorskie,D_04_000011_003,"Kcynia, ul. Nakielska 8",Kcynia,17.498694,52.995722,"Państwowy monitoring środowiska, art. 26 Poś",2023-09-14,2023-09-15,ul. Nakielska (DW 241),Noc 8h,53.7
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-15,2023-06-16,ul. Dworcowa (DW 241),Dzień 12h,67.7
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-15,2023-06-16,ul. Dworcowa (DW 241),Dzień 16h,67.1
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-15,2023-06-16,ul. Dworcowa (DW 241),Noc 8h,60
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-15,2023-06-16,ul. Dworcowa (DW 241),Wieczór 4h,64.1
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-19,2023-06-20,ul. Dworcowa (DW 241),Dzień 12h,66.4
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-19,2023-06-20,ul. Dworcowa (DW 241),Dzień 16h,66.2
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-19,2023-06-20,ul. Dworcowa (DW 241),Noc 8h,59.6
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-19,2023-06-20,ul. Dworcowa (DW 241),Wieczór 4h,65.5
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-24,2023-06-25,ul. Dworcowa (DW 241),Dzień 12h,64.4
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-24,2023-06-25,ul. Dworcowa (DW 241),Dzień 16h,64.2
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-24,2023-06-25,ul. Dworcowa (DW 241),Noc 8h,59
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-24,2023-06-25,ul. Dworcowa (DW 241),Wieczór 4h,63.6
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-20,2023-07-21,ul. Dworcowa (DW 241),Dzień 12h,66.7
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-20,2023-07-21,ul. Dworcowa (DW 241),Dzień 16h,66.3
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-20,2023-07-21,ul. Dworcowa (DW 241),Noc 8h,61.4
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-20,2023-07-21,ul. Dworcowa (DW 241),Wieczór 4h,65
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-22,2023-07-23,ul. Dworcowa (DW 241),Dzień 12h,65.1
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-22,2023-07-23,ul. Dworcowa (DW 241),Dzień 16h,64.7
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-22,2023-07-23,ul. Dworcowa (DW 241),Noc 8h,56.8
kujawsko-pomorskie,D_04_000012_003,"Kcynia, ul. Dworcowa 35",Kcynia,17.492639,52.992667,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-22,2023-07-23,ul. Dworcowa (DW 241),Wieczór 4h,63.3
