Województwo,Kod punktu pomiarowego,Nazwa punktu pomiarowego,Miejscowość,Współrz. pp WGS84 (dł. geogr.),Współrz. pp WGS84 (szer. geogr.),Cel pomiaru,Data rozpoczęcia,Data zakończenia,Nazwa odcinka drogi,Czas odniesienia,Laeq po korekcie [dB]
dolnośląskie,D_02_000018_003,Żelazno 34 (2023),Żelazno,16.67475,50.374972,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-17,2023-07-18,Żelazno droga krajowa nr 33,Dzień 16h,68.6
dolnośląskie,D_02_000018_003,Żelazno 34 (2023),Żelazno,16.67475,50.374972,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-17,2023-07-18,Żelazno droga krajowa nr 33,Noc 8h,62.3
dolnośląskie,D_02_000712_001,Wilkanów 10A (2023),Wilkanów,16.655361,50.271417,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-10,2023-07-11,Wilkanów DK 33,Dzień 16h,63.2
dolnośląskie,D_02_000712_001,Wilkanów 10A (2023),Wilkanów,16.655361,50.271417,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-10,2023-07-11,Wilkanów DK 33,Noc 8h,57.4
dolnośląskie,D_02_000713_001,Smreczyna 41 (2023),Smreczyna,16.667056,50.130639,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-03,2023-07-04,Smreczyna DK 33,Dzień 16h,62.4
dolnośląskie,D_02_000713_001,Smreczyna 41 (2023),Smreczyna,16.667056,50.130639,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-03,2023-07-04,Smreczyna DK 33,Noc 8h,58.2
dolnośląskie,D_02_000714_001,Warszawska 14A (2023),Międzylesie,16.67075,50.153778,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-06,2023-07-07,Międzylesie DK 33,Dzień 16h,62.7
dolnośląskie,D_02_000714_001,Warszawska 14A (2023),Międzylesie,16.67075,50.153778,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-06,2023-07-07,Międzylesie DK 33,Noc 8h,57.8
dolnośląskie,D_02_000715_001,Międzyleska 13 (2023),Domaszków,16.679833,50.218222,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-13,2023-07-14,Domaszków DK 33,Dzień 16h,62.8
dolnośląskie,D_02_000715_001,Międzyleska 13 (2023),Domaszków,16.679833,50.218222,"Państwowy monitoring środowiska, art. 26 Poś",2023-07-13,2023-07-14,Domaszków DK 33,Noc 8h,57
dolnośląskie,D_02_000716_001,Boboszów 45A (2023),Boboszów,16.685889,50.118222,"Państwowy monitoring środowiska, art. 26 Poś",2023-06-29,2023-06-30,Boboszów DK 33,Dzień 16h,60
